filename,file_path,emotion,file_size_bytes,file_hash
Angry_000.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_000.png,Angry,1282,1add64e24fb378a06660ffd3397394fa90daad9812687530fa6efbe9ce50e4bd
Angry_001.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_001.png,Angry,1293,53c0aa527308fe2f58c7ed837737faaaca164cc5c8d4a07366e07ce7f3379389
Angry_002.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_002.png,Angry,1275,832db94cad51cf6b9cd0bcb0b0df914e3b7f6d73cf52de79202a2df6b494663d
Angry_003.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_003.png,Angry,1272,e1ce974f9217674a3315fb2871fd1e8383a22d4c5f250dea606dcae49183acf0
Angry_004.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_004.png,Angry,1302,6110ebf44b82cefcc4051f5e83097319e20020eaae6c2763e682b987c9332c55
Angry_005.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_005.png,Angry,1260,d084b9494dfb852d2b8282ff7252072619e1ccdb9f5720536fe50b7d85813fa1
Angry_006.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_006.png,Angry,1270,fa852d90d766712b80d6104215b1aecf106a35a0b89b8863875e6bbe44691037
Angry_007.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_007.png,Angry,1265,a997cbdfd1867f65c041f2f7ed6c305ddecdcdab2dafd5485250cf82caf39808
Angry_008.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_008.png,Angry,1284,950fff1e6a6b67e40ac5d65c8c2cfdb547b0bc6aeccf44e98c12b9a776067a1c
Angry_009.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_009.png,Angry,1274,47ecfbc812bb73b4ebfbdeaaaacf693586cb1b27332df17641b0ff15c1fe753c
Angry_010.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_010.png,Angry,1264,28b42537ebd39d89ef7fb958b497fd046e2cbc72504e138681a291189760954e
Angry_011.png,E:\PROJECT 33\PROJECT 33\backend\sample_datasets\image_dataset\Angry\Angry_011.png,Angry,1279,fea3b350982f70ee7aa29952a4243b82deb08da81deae33a0854727d4eff0dfc
